titles,details
Volkswagen Golf VII Variant Trendline BMT/Start-Stopp,Unfallfrei • EZ 04/2017 • 188.292 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Plus VI Match AHK/SHZ/S-HEFT/KLIMAAUTO/2.H,Unfallfrei • EZ 05/2012 • 159.305 km • 77 kW (105 PS) • Benzin
Volkswagen Golf Plus VI Life BMT / Navi / Sitzheizung,Unfallfrei • EZ 06/2013 • 167.000 km • 77 kW (105 PS) • Diesel
BMW 114 Baureihe 1 Lim. 5-trg.PDC TÜV NEU KETTE NEU,Unfallfrei • EZ 09/2012 • 150.000 km • 75 kW (102 PS) • Benzin
Volkswagen Caddy Kombi Maxi Roncalli,EZ 06/2012 • 150.000 km • 75 kW (102 PS) • Diesel
Volkswagen Golf 2.0 TDI Comfortline NAVI PDC SITZHEIZUNG,EZ 10/2014 • 188.697 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VII BMT 1.6TDI*AHK*KLIMA*START/STOP,Unfallfrei • EZ 08/2013 • 168.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Plus VI Match DSG-AHK-Tempomat-SHZ,EZ 11/2012 • 165.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII*Variant*Trendl*Navi*Tempo*Sitzh*Multi*,EZ 06/2015 • 178.000 km • 81 kW (110 PS) • Diesel
Volkswagen up! move BMT/Start-Stopp 1.Hand Bluetooth Klima,Unfallfrei • EZ 01/2019 • 173.800 km • 44 kW (60 PS) • Benzin
Ford Fiesta Trend 1.0 EcoBoost 1. Hand,Unfallfrei • EZ 12/2019 • 150.000 km • 74 kW (101 PS) • Benzin
BMW X1 sDrive 16d*KLIMA*SHZ*MULTI. LENKRAD*,EZ 09/2013 • 161.900 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Trendline BMT,Unfallfrei • EZ 10/2014 • 183.000 km • 81 kW (110 PS) • Diesel
Ford Fiesta Cool & Connect(Tüv&Insp. neu) Navi Apple,EZ 11/2020 • 151.700 km • 70 kW (95 PS) • Benzin
BMW 116d / Klimaautomatik/ Sitzheizung/ keyless Go,EZ 05/2014 • 158.000 km • 85 kW (116 PS) • Diesel
Volkswagen Polo V Life Scchiebedach Automatik PDC Klimaaut.,Unfallfrei • EZ 07/2013 • 160.000 km • 77 kW (105 PS) • Benzin
Mazda 5 Sendo,Unfallfrei • EZ 06/2015 • 155.881 km • 85 kW (116 PS) • Benzin
Volkswagen Golf 1.2 TSI BlueMotion Technology MATCH MAT...,Reparierter Unfallschaden • EZ 07/2012 • 160.000 km • 77 kW (105 PS) • Benzin
Mercedes-Benz B 200 B -Klasse B 200 1Hand Ahk Navi Shz Tempoma,Unfallfrei • EZ 10/2012 • 162.000 km • 115 kW (156 PS) • Benzin
"Renault Trafic Kasten L2H1 2,9t Komfort",EZ 09/2016 • 150.000 km • 88 kW (120 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT,EZ 06/2014 • 175.000 km • 63 kW (86 PS) • Benzin
Audi A3 1.4 TFSI Ambition Ambition,Unfallfrei • EZ 01/2013 • 150.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,EZ 11/2014 • 176.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,Unfallfrei • EZ 12/2016 • 191.000 km • 81 kW (110 PS) • Diesel
Volkswagen Passat Variant 1.4 TSI /BI-Xenon/AHK/aus 1.Hand,Unfallfrei • EZ 02/2015 • 172.915 km • 90 kW (122 PS) • Benzin
"Volkswagen Golf ,Variant.LED,",Unfallfrei • EZ 09/2020 • 193.000 km • 85 kW (116 PS) • Benzin
"Ford Focus 1,0 EcoBoost 92kW Titanium Navi Sitzheiz.",Unfallfrei • EZ 04/2016 • 150.000 km • 92 kW (125 PS) • Benzin
BMW 118i Sport Line*LED Scheinwerfer*Navi*PDC*Euro6*,Unfallfrei • EZ 08/2016 • 177.000 km • 100 kW (136 PS) • Benzin
Volkswagen Golf 1.6 TDI 85kw NAVI ECC PDC,EZ 05/2017 • 189.244 km • 85 kW (116 PS) • Diesel
Ford Focus Turnier Titanium 2.Hd|Bi-Xenon|Kamera|SiHz,EZ 07/2017 • 159.500 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII 1.4 Lim. Comfortl. BMT 1.HD+KLIMA+S-HEF,EZ 05/2016 • 189.250 km • 92 kW (125 PS) • Benzin
"Volkswagen Golf VI 2,0 TSI GTI +Motor 100.000 KM",Unfallfrei • EZ 03/2010 • 151.400 km • 155 kW (211 PS) • Benzin
Volkswagen Passat CC 2.0 TDI PDC Service neu,EZ 10/2011 • 150.000 km • 103 kW (140 PS) • Diesel
Volkswagen Tiguan Sport & Style 4Motion PDC SHZ AHK,EZ 02/2012 • 159.920 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VI 1.4 Variant Highline Xenon/Leder/Pano.,EZ 09/2011 • 154.500 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VI Comfortline TÜV /INSP/ GARANTIE,Unfallfrei • EZ 03/2010 • 150.200 km • 75 kW (102 PS) • Benzin
Volkswagen Golf VI Variant Comfortline,EZ 05/2011 • 154.904 km • 118 kW (160 PS) • Benzin
Mercedes-Benz Citan109 CDI extralang 1-Hand Scheckheft SR+WR,EZ 01/2016 • 179.000 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII 1.6 TDI DSG Variant Cup BMT,EZ 07/2015 • 179.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf 1.2 TSI 63kW BMT Comfortline,Unfallfrei • EZ 01/2013 • 169.800 km • 63 kW (86 PS) • Benzin
Mercedes-Benz Vito Kasten 113 CDI lang Klima 2xSchiebetür AHK,Unfallfrei • EZ 12/2011 • 150.000 km • 100 kW (136 PS) • Diesel
Volkswagen Golf VII Variant Comfortline TGI BlueMotion/DSG/,Unfallfrei • EZ 09/2015 • 163.000 km • 81 kW (110 PS) • Erdgas (CNG)
Volkswagen Golf VI Comfortline,Unfallfrei • EZ 02/2010 • 167.000 km • 59 kW (80 PS) • Benzin
Mercedes-Benz Citan Kombi 109 CDI lang*5Sitze*DPF*,EZ 04/2013 • 157.000 km • 66 kW (90 PS) • Diesel
Audi A3 Sportback |Navigation|Xenon|Navi,Unfallfrei • EZ 01/2014 • 168.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf TSI Match *FINANZ. AB 100€/MONAT/NAVI/AHK/K,Unfallfrei • EZ 11/2012 • 163.751 km • 90 kW (122 PS) • Benzin
Peugeot 308 1.2 e-THP Allure GT-Line LED AHK Pano Navi,EZ 09/2018 • 168.800 km • 96 kW (131 PS) • Benzin
Volkswagen Sharan 7 Sitzer*Navi*PDC*AHK*TÜV-Neu,EZ 04/2012 • 157.000 km • 110 kW (150 PS) • Benzin
Volkswagen Golf Plus VI Style BMT,Unfallfrei • EZ 10/2011 • 156.000 km • 77 kW (105 PS) • Diesel
Opel Cascada 1.4 Turbo Active.SITZH.LENKRADHEIZ.BLUE.,Unfallfrei • EZ 03/2016 • 153.000 km • 88 kW (120 PS) • Benzin
Hyundai i20 Trend*2Hand*TopZustand*Garantie+TÜV+Service*,EZ 01/2018 • 154.352 km • 62 kW (84 PS) • Benzin
"Volkswagen Tiguan 1,4 TSI Sport&Style Navi PDC SHZ AHK",Unfallfrei • EZ 08/2012 • 164.200 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VI Cabriolet TÜV NEU/KLIMA/EL VERDECK,EZ 05/2012 • 169.990 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT/Start-Stopp,EZ 05/2018 • 194.000 km • 85 kW (116 PS) • Diesel
Volkswagen Caddy 2.0 TDI Kasten 1 Hand MwSt,Unfallfrei • EZ 05/2016 • 172.000 km • 55 kW (75 PS) • Diesel
Audi A3 1.2 TFSI Sportback attraction*neue Tüv*Klima*,Unfallfrei • EZ 03/2014 • 168.900 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VI Variant Match TÜV bis 11/2025!,EZ 09/2012 • 164.180 km • 90 kW (122 PS) • Benzin
Ford Grand C-MAX Cool & Connect,Unfallfrei • EZ 11/2017 • 150.664 km • 92 kW (125 PS) • Benzin
"Mercedes-Benz E 220CDI BlueEfficiency AVANTGARDE,NAVI,SHZ,PDC",EZ 07/2014 • 165.990 km • 125 kW (170 PS) • Diesel
Audi A3 Sportback 1.4 TFSI Ambition*S.Line*,Unfallfrei • EZ 09/2011 • 150.090 km • 92 kW (125 PS) • Benzin
Renault Megane 2.0dCi 165 FAP GT Line+NAVI+TEMPO+PDC,EZ 08/2015 • 153.100 km • 120 kW (163 PS) • Diesel
Opel Astra K Lim. 5-trg. Active,Unfallfrei • EZ 02/2017 • 157.500 km • 110 kW (150 PS) • Benzin
Mercedes-Benz A 180 A -Klasse A 180 BlueEfficiency,Unfallfrei • EZ 07/2013 • 162.000 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy 1.6TDI Trendline Klima 5-Sitze 1-Hand,EZ 11/2013 • 162.154 km • 55 kW (75 PS) • Diesel
Ford Transit Courier Kombi*KLIMA*5-SITZER*PDC*EURO 6*,EZ 08/2019 • 156.000 km • 74 kW (101 PS) • Benzin
Opel Zafira C Tourer Edition/7Sitzplätze/Kamera/Navi,Unfallfrei • EZ 06/2015 • 153.000 km • 103 kW (140 PS) • Benzin
Peugeot 2008 Crossway 130 Navi Kamera Touch 1Hand,EZ 05/2019 • 158.000 km • 96 kW (131 PS) • Benzin
Volkswagen Golf VII Lim. Cup BMT,Unfallfrei • EZ 04/2014 • 174.985 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Plus DSG Highline*Navi*Klima*AHK*Standheiz.,EZ 10/2012 • 156.500 km • 90 kW (122 PS) • Benzin
Volkswagen Polo V CrossPolo 1.4 8xAlu/Scheckheft VW/Sitzh.,EZ 04/2013 • 156.800 km • 63 kW (86 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline*Navi*PDC*,Unfallfrei • EZ 10/2014 • 179.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VI Variant TEILLEDER KLIMA GANZJAHRESREIFEN,EZ 08/2012 • 166.923 km • 77 kW (105 PS) • Benzin
Iveco Daily Kasten HKa 35 S ... V Radstand 3520 L,EZ 11/2017 • 155.000 km • 115 kW (156 PS) • Diesel
Volkswagen Golf Sportsvan VII Sound BMT/Start-Stopp *Navi*,EZ 07/2017 • 180.000 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT AutomatikComfor,EZ 03/2013 • 170.000 km • 110 kW (150 PS) • Diesel
BMW 116i URBAN 1 Lim. 5-trg.|Automatik|Navi|Kamera,Unfallfrei • EZ 02/2015 • 176.249 km • 100 kW (136 PS) • Benzin
Volkswagen Golf VI Variant Exclusive,EZ 06/2012 • 161.000 km • 118 kW (160 PS) • Benzin
Renault Twingo 1.0 SCe 70 Dynamique *LED*SoundSys,Unfallfrei • EZ 10/2014 • 151.650 km • 52 kW (71 PS) • Benzin
Audi A3 Cabriolet Ambition Xenon*Leder*Navi,EZ 06/2012 • 153.248 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VI Cabriolet Basis,Unfallfrei • EZ 02/2012 • 164.573 km • 118 kW (160 PS) • Benzin
Peugeot 308 SW BWJ 2020 1.2 PureTech 111 PK Blue Lease E,EZ 04/2020 • 157.188 km • 82 kW (111 PS) • Benzin
Audi A1 S-LINE *KLIMA*SHZ*,EZ 09/2013 • 152.177 km • 66 kW (90 PS) • Diesel
Volkswagen Caddy Kasten PDC Klima Navi Temp.Sitzh.2xs-Tür,Unfallfrei • EZ 12/2014 • 162.120 km • 75 kW (102 PS) • Diesel
Jaguar XE 2.0d >LEDER+NAVI+XENON+HEAD UP+MFL+TEMP+LM,EZ 02/2017 • 150.000 km • 120 kW (163 PS) • Diesel
Volkswagen Golf Variant 1.6 TDI Connected Series Navi|Cam|L,EZ 11/2016 • 189.916 km • 81 kW (110 PS) • Diesel
BMW 316i Lim. 136PS * KLIMAAUTO * SHZ * AUX * PDC HI,EZ 03/2013 • 159.430 km • 100 kW (136 PS) • Benzin
Volvo V40 Kinetic*7450 EURO NETTO*EURO6b*,Unfallfrei • EZ 10/2016 • 158.000 km • 88 kW (120 PS) • Diesel
Volkswagen Golf VI Cabriolet Cup,EZ 10/2014 • 189.200 km • 90 kW (122 PS) • Benzin
Volkswagen Tiguan Sport & Style BMT,EZ 01/2013 • 165.000 km • 118 kW (160 PS) • Benzin
Opel Zafira C Tourer 7-Sitzer*TÜV & SERVICE NEU*,EZ 07/2016 • 158.000 km • 103 kW (140 PS) • Benzin
BMW 116i Sport Line TÜV NEU SHZ 8fach PDC F20,EZ 03/2012 • 152.000 km • 100 kW (136 PS) • Benzin
"Skoda Rapid Spaceback Style, NAVI, SHZ, TEMPO",EZ 07/2017 • 152.755 km • 85 kW (116 PS) • Diesel
Volkswagen Polo Comfortline,Unfallfrei • EZ 08/2019 • 182.010 km • 70 kW (95 PS) • Diesel
Ford Transit Connect,Unfallfrei • EZ 08/2019 • 151.000 km • 74 kW (101 PS) • Diesel
Volkswagen Golf VI Match BlueMotion*KLIMA*STANDHEIZUNG*PDC*,EZ 08/2012 • 171.000 km • 77 kW (105 PS) • Benzin
BMW 114i*Euro 6*Tüv bis 08/2025,Unfallfrei • EZ 09/2014 • 156.000 km • 75 kW (102 PS) • Benzin
Opel Mokka X 4x4 1.6CDTI Start/Stop PDC SHZ Klimauto.,Unfallfrei • EZ 01/2019 • 155.000 km • 100 kW (136 PS) • Diesel
BMW 114i Euro6&Alu&SHZ,Unfallfrei • EZ 10/2014 • 165.800 km • 75 kW (102 PS) • Benzin
Peugeot 308 SW Allure,EZ 07/2018 • 152.471 km • 96 kW (131 PS) • Diesel
Audi A4 1.8 TFSI Avant S Line Automatik BITTE LESEN,EZ 10/2015 • 179.986 km • 125 kW (170 PS) • Benzin
Volkswagen Golf Plus VI Match,Unfallfrei • EZ 02/2013 • 170.000 km • 63 kW (86 PS) • Benzin
"BMW 116d Advantage, Klima, SHZ, Navi",Unfallfrei • EZ 11/2016 • 179.900 km • 85 kW (116 PS) • Diesel
Ford TRANSIT COURIER BASIS EURO6 TÜV 10/2025 TOP,Unfallfrei • EZ 10/2019 • 150.000 km • 74 kW (101 PS) • Benzin
BMW 116d 2.0 F20 Leder Alu 18 Zoll 5-Türer SHZ,Unfallfrei • EZ 07/2014 • 166.800 km • 85 kW (116 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT/Start-Stopp TDI,EZ 01/2018 • 188.000 km • 85 kW (116 PS) • Diesel
Skoda Fabia Combi Cool Plus 1.0 TSI,EZ 11/2020 • 153.000 km • 70 kW (95 PS) • Benzin
Seat Leon Style,EZ 03/2017 • 157.000 km • 92 kW (125 PS) • Benzin
Ford C-Max Business Edition *NAVI*SITZHZ*LENKRADHZ*,Unfallfrei • EZ 04/2017 • 155.000 km • 110 kW (150 PS) • Benzin
Dacia Duster 1.2 TCe 4x2 Blackshadow Leder|Navi|Airco|,EZ 06/2017 • 151.718 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VII Variant Comfortline //AUTOMATIK//NAVI//,EZ 03/2014 • 179.998 km • 77 kW (105 PS) • Benzin
Volkswagen Touran Match PANORAMA DACH KLIMAAUTOMATIK NAVI,EZ 12/2012 • 162.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf Comfortline Variant 8Fach. AHK Navi Kam.SHZ,EZ 11/2015 • 181.500 km • 81 kW (110 PS) • Diesel
Volkswagen PoloV Life*NAVI*klimatron*TEMPOMAT*kette neu*TOP,EZ 08/2013 • 155.000 km • 44 kW (60 PS) • Benzin
"Fiat Talento Kasten L1H1 1,0t Business",EZ 04/2019 • 150.000 km • 70 kW (95 PS) • Diesel
Volkswagen Touran Comfortline,Unfallfrei • EZ 06/2013 • 166.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Variant 2.0 TDI*VIRTUAL*ACC*PANORAMA*,EZ 06/2017 • 194.550 km • 110 kW (150 PS) • Diesel
Audi A3 Sportback S line Sportpaket,EZ 04/2013 • 165.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT Klima Temp Pdc Mfl,Unfallfrei • EZ 09/2013 • 172.000 km • 77 kW (105 PS) • Diesel
"BMW 120i Edition Sport, 18 Zoll, Sportsitze, Klima",EZ 06/2011 • 150.000 km • 125 kW (170 PS) • Benzin
Ford Transit Courier Kombi,EZ 12/2018 • 153.600 km • 74 kW (101 PS) • Diesel
Volkswagen Polo VI 1.0 TSI Comfortline *Klimaauto.*PDC*,Unfallfrei • EZ 06/2021 • 180.000 km • 70 kW (95 PS) • Benzin
Ford Mondeo Turnier Titanium 1.5 TDCi - STANDHZG,EZ 05/2018 • 153.800 km • 88 kW (120 PS) • Diesel
Mercedes-Benz C 200 BlueEfficiency PANORAMA XENON,Unfallfrei • EZ 02/2011 • 150.000 km • 135 kW (184 PS) • Benzin
Volkswagen Passat Variant 1.4 TSI Comfortline BMT Variant,EZ 10/2014 • 167.600 km • 90 kW (122 PS) • Benzin
Audi A1 1.2 TFSI Sportback ambition*Navi*SHZ*PDC*,EZ 12/2012 • 160.000 km • 63 kW (86 PS) • Benzin
"Opel Mokka Innovation ecoFlex 1.6 Diesel ""2.Hand""",EZ 09/2016 • 150.000 km • 100 kW (136 PS) • Diesel
Audi A1 1.6TDI Sportback ambition *Xenon*SHZ*Tempomat,EZ 06/2014 • 163.500 km • 66 kW (90 PS) • Diesel
BMW 320 Baureihe 3 Gran Turismo 320 i xDrive,EZ 12/2013 • 169.000 km • 135 kW (184 PS) • Benzin
Opel Zafira C Tourer 7-Sitzer*TÜV & SERVICE NEU*,EZ 07/2016 • 158.000 km • 103 kW (140 PS) • Benzin
Kia cee'd / Ceed SW *SPIRIT*AUT.*R-CAM*NAVI*USB/BT*,EZ 02/2018 • 154.000 km • 100 kW (136 PS) • Diesel
Opel Astra J GTC 1.4 Turbo ecoFlex *Navi*Xenon*SHZ*,EZ 03/2016 • 157.460 km • 103 kW (140 PS) • Benzin
Opel Astra J GTC 1.4 Turbo ecoFlex *Navi*Xenon*SHZ*,EZ 03/2016 • 157.460 km • 103 kW (140 PS) • Benzin
"Nissan Pulsar 1.2 DIG-T Visia 1e besitzer,Airco,Cruise,",EZ 09/2016 • 151.238 km • 85 kW (116 PS) • Benzin
Opel Astra K Sports Tourer Business Start/Stop,Unfallfrei • EZ 07/2017 • 152.000 km • 81 kW (110 PS) • Diesel
Peugeot 308 SW BlueHDI 120 *ALLURE* RFKMRA|LED|PDACH,EZ 01/2018 • 162.500 km • 88 kW (120 PS) • Diesel
Audi A3 Cabriolet Ambition XenonPlus/Leder/Bluetooth,Unfallfrei • EZ 04/2013 • 162.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VI 1.4 TSI Comfortline,Unfallfrei • EZ 01/2011 • 153.500 km • 90 kW (122 PS) • Benzin
Volkswagen Polo 1.2TSI V Team Highline Xenon 2.Hd 5-Türer,EZ 03/2011 • 168.549 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT,EZ 03/2014 • 175.110 km • 63 kW (86 PS) • Benzin
Volkswagen Scirocco 1.4 TSI*SUPER OPTIK*PANORAMA*TOP!!,Unfallfrei • EZ 04/2013 • 167.000 km • 118 kW (160 PS) • Benzin
"Peugeot 2008 Active, SHZ,Navi",Unfallfrei • EZ 01/2019 • 150.000 km • 75 kW (102 PS) • Diesel
Volkswagen Touran Style BMT,EZ 10/2011 • 151.579 km • 77 kW (105 PS) • Benzin
Seat Leon 2.0 TDI / NAVI / SITZHEIZUNG,EZ 05/2015 • 180.000 km • 110 kW (150 PS) • Diesel
Mazda 3 Lim. Nakama Bi-Xenon AHK Alcantara Tempomat,Unfallfrei • EZ 12/2016 • 158.000 km • 88 kW (120 PS) • Benzin
Volkswagen Touran Comfortline,EZ 09/2012 • 155.000 km • 77 kW (105 PS) • Benzin
Volkswagen Passat Variant 2.0 TDI DSG**1.HAND+SCHECKHEFT**,EZ 05/2013 • 162.010 km • 130 kW (177 PS) • Diesel
"Citroën C4 Cactus ""Shine"" | Rückfahrkamera | Navi | EUR6",EZ 02/2017 • 150.000 km • 73 kW (99 PS) • Diesel
Mercedes-Benz B 180 Edition 1/Klima/Leder/SHZ/Xenon/Kamera/,EZ 09/2012 • 160.000 km • 90 kW (122 PS) • Benzin
BMW 114i Sport Line Sport Line,Reparierter Unfallschaden • EZ 12/2012 • 160.000 km • 75 kW (102 PS) • Benzin
Skoda Rapid Spaceback Ambition 1.2 TSI Bluetooth PDC,Unfallfrei • EZ 03/2016 • 152.657 km • 66 kW (90 PS) • Benzin
Volkswagen Polo V Comfortline BMT/Start-Stopp KLIMA PDC SHZ,EZ 02/2015 • 180.000 km • 66 kW (90 PS) • Benzin
Skoda Rapid Spaceback Active /KLIMA/PDC/TÜV FEB.2026/,EZ 07/2018 • 152.962 km • 70 kW (95 PS) • Benzin
Volkswagen move up!/Garantie/Navi/Pano/Leder/Sitzheizung,Unfallfrei • EZ 03/2015 • 167.000 km • 44 kW (60 PS) • Benzin
Volkswagen Touran Comfortline Business P.~Navi~SHZ~7-SITZ~,EZ 06/2015 • 179.000 km • 103 kW (140 PS) • Benzin
Peugeot 2008 Active **2.HAND** ~incl. GARANTIE~ TOP,EZ 01/2017 • 159.750 km • 81 kW (110 PS) • Benzin
Audi A4 Avant Ambition 1.8TFSI*Bi-Xen Navi Tempo SHZ,EZ 11/2012 • 157.390 km • 125 kW (170 PS) • Benzin
Seat Leon 1.4 TSI 92kW Start&Stop FR,EZ 11/2015 • 153.000 km • 92 kW (125 PS) • Benzin
Ford Focus Turnier ST-Line/LED/ACC/NAVI/8-FACH,EZ 03/2018 • 159.900 km • 134 kW (182 PS) • Benzin
BMW 218 Baureihe 2 Active Tourer 218 d,Unfallfrei • EZ 08/2015 • 175.000 km • 110 kW (150 PS) • Diesel
Mercedes-Benz B 200 CDI Bi-XENON Sportpaket Navi,EZ 06/2012 • 155.000 km • 100 kW (136 PS) • Diesel
BMW 320d Touring/Klima/Navi,EZ 11/2012 • 156.000 km • 135 kW (184 PS) • Diesel
"Opel Insignia A ST Business Edition 1.6 CDTI, AHK, 1.",Unfallfrei • EZ 02/2017 • 153.023 km • 100 kW (136 PS) • Diesel
Audi A1 sport S-line *NAVI*XENON* PDC*,EZ 05/2015 • 170.500 km • 85 kW (116 PS) • Diesel
Peugeot Partner Tepee - 5 Sitzer - Klima - Mwst.,EZ 10/2017 • 150.220 km • 81 kW (110 PS) • Benzin
Opel Insignia Sports Tourer Innovation,EZ 04/2017 • 150.350 km • 100 kW (136 PS) • Diesel
Volkswagen Golf 1.2 TSI Comfortline Klimaautomat-PDC-Euro5,EZ 09/2013 • 173.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VI Style 2.0TDI viele Extras,EZ 11/2011 • 153.492 km • 103 kW (140 PS) • Diesel
Volkswagen Touran Comfortline 1.4 TSi *7-Sitzer*Kette Neu,Unfallfrei • EZ 06/2012 • 159.800 km • 103 kW (140 PS) • Benzin
Dacia Sandero Comfort 1. Hand Scheckheftgepflegt NAVI,EZ 01/2021 • 150.000 km • 54 kW (73 PS) • Benzin
"Volkswagen Golf VII 1,6TDI Lounge BMT/StandheizungFFB/EURO6",Unfallfrei • EZ 07/2016 • 189.140 km • 81 kW (110 PS) • Diesel
Volkswagen Touran Match *Euro5 *155tkm *Tüv * 7sitzer,Unfallfrei • EZ 10/2012 • 155.000 km • 103 kW (140 PS) • Diesel
Opel Corsa E Edition,Unfallfrei • EZ 02/2015 • 152.440 km • 66 kW (90 PS) • Benzin
Opel Astra K Kombi EURO6 2Hand,EZ 07/2017 • 158.600 km • 81 kW (110 PS) • Diesel
Skoda Rapid 1.0 TSi Spaceback **Navi*Kamera*Temp*SHZ**,EZ 01/2019 • 159.000 km • 70 kW (95 PS) • Benzin
Volkswagen Golf 1.6 TDI Cup BMT Klimaautom Kamer Temp AHK,EZ 03/2015 • 184.400 km • 81 kW (110 PS) • Diesel
BMW X1 Baureihe X1 sDrive 18i,EZ 06/2012 • 158.792 km • 110 kW (150 PS) • Benzin
Volkswagen GOLF VII 1.6 TDI BMT Comfortline KLIMATR.NAV PDC,EZ 07/2013 • 170.000 km • 77 kW (105 PS) • Diesel
Volkswagen Scirocco 2.0 TSI **Xenon*Navi*Panorama*SHZ*PDC**,EZ 04/2012 • 162.000 km • 155 kW (211 PS) • Benzin
BMW 3er 3 Cabrio Klima|Xenon|Alu,EZ 06/2011 • 155.695 km • 105 kW (143 PS) • Benzin
Volkswagen Golf VI Variant Highline-PANO-PDC-NAVI-BI-XENON,EZ 08/2011 • 159.996 km • 118 kW (160 PS) • Benzin
Ford Focus 1.5 TDCi Business PDC*Navi*Tempomat*Euro 6,EZ 11/2017 • 156.630 km • 70 kW (95 PS) • Diesel
Volkswagen Golf Variant 1.0 TSI Trendline -NAVI-CARPLAY-AIR,EZ 11/2017 • 192.352 km • 63 kW (86 PS) • Benzin
"Skoda Fabia Combi Ambition,Pano,Kamera,Navi,Scheckheft",Unfallfrei • EZ 10/2018 • 161.500 km • 81 kW (110 PS) • Benzin
Volkswagen Polo V **Black Edition**SHZ**Klima**,EZ 02/2013 • 158.745 km • 51 kW (69 PS) • Benzin
BMW 114d*Klima*SHZ*PDC*,EZ 05/2014 • 160.685 km • 70 kW (95 PS) • Diesel
Skoda Fabia Combi Ambition,Unfallfrei • EZ 05/2020 • 152.334 km • 70 kW (95 PS) • Benzin
Peugeot 308 SW 1.5 BlueHDi 130pk Premium -PANO-ECC-NAVI-,EZ 05/2019 • 151.579 km • 96 kW (131 PS) • Diesel
Seat Leon 1.8 ST FR*LED*KLIMAAUT.*NAVI*PDC*ALCANTARA*,EZ 08/2015 • 154.000 km • 132 kW (179 PS) • Benzin
Ford Focus Turnier Titanium,EZ 12/2015 • 152.670 km • 92 kW (125 PS) • Benzin
BMW 218i 1.5 12V >AHK|SHZ|NAVI|MFL|TRAVEL-PAKET|EUR6,EZ 12/2016 • 180.655 km • 100 kW (136 PS) • Benzin
Volkswagen Caddy Kombi Maxi /AHK/Klimaanlage/ISOFIX/TÜV Neu,Unfallfrei • EZ 02/2011 • 152.000 km • 77 kW (105 PS) • Benzin
Volkswagen Touran Life,Unfallfrei • EZ 07/2013 • 166.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf Plus VI Life 1.6 TDI °Automatik°2xPDC°Navi°,Unfallfrei • EZ 05/2013 • 169.003 km • 77 kW (105 PS) • Diesel
Opel Crossland (X)/Tüv-Neu/Kamera/Automatik/Garantie,EZ 12/2017 • 159.768 km • 81 kW (110 PS) • Benzin
Volkswagen Beetle Lim. Sport 2.0 TDI | Xenon | 20 Zoll,EZ 11/2012 • 161.064 km • 103 kW (140 PS) • Diesel
BMW 218 Active Tourer*LED*PDC*8 Fach*Euro6*TÜV NEUE,Unfallfrei • EZ 04/2018 • 189.000 km • 100 kW (136 PS) • Benzin
"Volkswagen POLO 1.6 TDI SCR 59kW,KLIMA,1.HD,EUR6,PDC,ALU,CD",EZ 03/2020 • 180.000 km • 59 kW (80 PS) • Diesel
"Skoda Fabia 1,0 TSI Combi Cool Plus/Klima/1-Hand/19%Mw",Unfallfrei • EZ 01/2020 • 155.654 km • 70 kW (95 PS) • Benzin
BMW 114i 1 Lim. 5-trg Tüv Neu 2.Hand Scheckheft,EZ 08/2013 • 160.000 km • 75 kW (102 PS) • Benzin
BMW 218i Active Tourer/Klimaauto/SHZ/Multifunktion,EZ 08/2015 • 175.000 km • 100 kW (136 PS) • Benzin
